ID,coordinates
SRR10036045,38.922873 N 94.625833 W
SRR10036046,38.956451 N 94.560134 W
SRR10036047,38.9002091 N 94.6489961 W
SRR10036048,38.9002091 N 94.6489961 W
SRR10036049,38.9002091 N 94.6489961 W
SRR10036050,38.942513 N 94.737143 W
SRR10036051,38.942513 N 94.737143 W
SRR10036052,38.942513 N 94.737143 W
SRR10036053,38.900837 N 94.739828 W
SRR10036054,38.900837 N 94.739828 W
SRR10036055,38.900837 N 94.739828 W
SRR10036056,38.93288 N 94.69652 W
SRR10036057,38.956451 N 94.560134 W
SRR10036058,38.93288 N 94.69652 W
SRR10036059,38.93288 N 94.69652 W
SRR10036060,38.92075 N 94.699529 W
SRR10036061,38.92075 N 94.699529 W
SRR10036062,38.92075 N 94.699529 W
SRR10036063,38.925804 N 94.697055 W
SRR10036064,38.925804 N 94.697055 W
SRR10036065,38.925804 N 94.697055 W
SRR10036066,38.857594 N 94.7882 W
SRR10036067,38.857594 N 94.7882 W
SRR10036068,38.956451 N 94.560134 W
SRR10036069,38.857594 N 94.7882 W
SRR10036070,38.818864 N 94.778833 W
SRR10036071,38.818864 N 94.778833 W
SRR10036072,38.818864 N 94.778833 W
SRR10036073,38.813318 N 94.670967 W
SRR10036074,38.813318 N 94.670967 W
SRR10036075,38.813318 N 94.670967 W
SRR10036076,38.842448 N 94.612554 W
SRR10036077,38.842448 N 94.612554 W
SRR10036078,38.842448 N 94.612554 W
SRR10036079,38.952958 N 94.563948 W
SRR10036080,38.854923 N 94.615853 W
SRR10036081,38.854923 N 94.615853 W
SRR10036082,38.854923 N 94.615853 W
SRR10036083,38.891412 N 94.583257 W
SRR10036084,38.891412 N 94.583257 W
SRR10036085,38.891412 N 94.583257 W
SRR10036086,38.939143 N 94.561442 W
SRR10036087,38.939143 N 94.561442 W
SRR10036088,38.939143 N 94.561442 W
SRR10036089,38.903159 N 94.578199 W
SRR10036090,38.952958 N 94.563948 W
SRR10036091,38.952958 N 94.563948 W
SRR9658105,42.39651 N 85.40936 W
SRR9658106,42.39651 N 85.40936 W
SRR9658107,42.76324 N 84.405 W
SRR9658109,42.39651 N 85.40936 W
SRR9658110,42.39651 N 85.40936 W
SRR9658111,42.39651 N 85.40936 W
SRR9658112,42.39651 N 85.40936 W
SRR9658113,42.41803 N 85.44348 W
SRR9658114,42.41803 N 85.44348 W
SRR9658115,42.41803 N 85.44348 W
SRR9658116,42.35212 N 85.38545 W
SRR9658117,42.76324 N 84.405 W
SRR9658118,42.76324 N 84.405 W
SRR9658119,42.76324 N 84.405 W
SRR9658120,42.76324 N 84.405 W
SRR9658121,42.39651 N 85.40936 W
SRR9658122,42.39757 N 85.38536 W
SRR9658123,42.39757 N 85.38536 W
SRR9658124,42.39757 N 85.38536 W
SRR9658125,42.39757 N 85.38536 W
SRR9658126,42.39757 N 85.38536 W
SRR9658127,42.39757 N 85.38536 W
SRR9658128,42.56518 N 85.61352 W
SRR9658129,42.39757 N 85.38536 W
SRR9658130,42.35212 N 85.38545 W
SRR9658131,42.56518 N 85.61352 W
SRR9658132,42.39651 N 85.40936 W
SRR9658133,42.68079 N 84.4871 W
SRR9658134,42.68079 N 84.4871 W
SRR9658135,42.17991 N 85.11844 W
SRR9658136,42.67928 N 84.4849 W
SRR9658137,42.52346 N 83.666 W
SRR9658138,42.52346 N 83.666 W
SRR9658139,42.68079 N 84.4871 W
SRR9658140,42.68059 N 84.4831 W
